identity_type,identity_key,status,proposed_canonical,slug,title,doi,pmid,sitemap,noindex,canonical_url
DOI,10.1123/ijsnem.2024-0113,CANONICAL_FROM_SITEMAP,beetroot-juice-handball,multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-se,"Multiday Beetroot Juice Ingestion Improves Some Aspects of Neuromuscular Performance in Semi-Professional, Male Handball Players: A Randomized, Double-Blind, Placebo-Controlled, Crossover Study.",10.1123/ijsnem.2024-0113,39579758,False,False,https://nutreconciencia.com/articulos/multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-se/
DOI,10.1123/ijsnem.2024-0113,CANONICAL_FROM_SITEMAP,beetroot-juice-handball,multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-semi-profess,"Multiday Beetroot Juice Ingestion Improves Some Aspects of Neuromuscular Performance in Semi-Professional, Male Handball Players: A Randomized, Double-Blind, Placebo-Controlled, Crossover Study | Miguel López Moreno",10.1123/ijsnem.2024-0113,39579758,False,False,https://nutreconciencia.com/articulos/multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-semi-profess/
DOI,10.1093/nutrit/nuaf315,CANONICAL_FROM_SITEMAP,breast-cancer-plant-based-diets,breast-cancer-plant-based-diets,Breast Cancer Risk and Mortality and Adherence to Plant-Based Diets: A Systematic Review and Meta-Analysis,10.1093/nutrit/nuaf315,41719178,True,False,https://nutreconciencia.com/articulos/breast-cancer-plant-based-diets/
DOI,10.1093/nutrit/nuaf315,CANONICAL_FROM_SITEMAP,breast-cancer-plant-based-diets,breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-an,Breast Cancer Risk and Mortality and Adherence to Plant-Based Diets: A Systematic Review and Meta-Analysis.,10.1093/nutrit/nuaf315,41719178,False,False,https://nutreconciencia.com/articulos/breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-an/
DOI,10.1093/nutrit/nuaf315,CANONICAL_FROM_SITEMAP,breast-cancer-plant-based-diets,breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-and-meta-ana,Breast Cancer Risk and Mortality and Adherence to Plant-Based Diets: A Systematic Review and Meta-Analysis | Miguel López Moreno,10.1093/nutrit/nuaf315,41719178,False,False,https://nutreconciencia.com/articulos/breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-and-meta-ana/
DOI,10.3390/jcm14072160,CANONICAL_FROM_SITEMAP,cluster-headache-migraine,cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-n,"Cluster Headache and Migraine Shared and Unique Insights: Neurophysiological Implications, Neuroimaging, and Biomarkers: A Comprehensive Review",10.3390/jcm14072160,40217611,False,False,https://nutreconciencia.com/articulos/cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-n/
DOI,10.3390/jcm14072160,CANONICAL_FROM_SITEMAP,cluster-headache-migraine,cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-neuroimagin,"Cluster Headache and Migraine Shared and Unique Insights: Neurophysiological Implications, Neuroimaging, and Biomarkers: A Comprehensive Review | Miguel López Moreno",10.3390/jcm14072160,,False,False,https://nutreconciencia.com/articulos/cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-neuroimagin/
DOI,10.3390/jcm14072160,CANONICAL_FROM_SITEMAP,cluster-headache-migraine,cluster-headache-migraine,"Cluster Headache and Migraine Shared and Unique Insights: Neurophysiological Implications, Neuroimaging, and Biomarkers",10.3390/jcm14072160,40217611,True,False,https://nutreconciencia.com/articulos/cluster-headache-migraine/
DOI,10.3390/foods15101806,CANONICAL_FROM_SITEMAP,dry-cured-ham-comment,comment-on-hern-ndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-a,"Comment on Hernández-Lorca et al. Effects of Dry-Cured Ham Consumption on Cardiometabolic and Vascular Health in Adults: A Systematic Review and Meta-Analysis of Human Intervention Studies. Foods 2026, 15, 1198.",10.3390/foods15101806,42196009,False,False,https://nutreconciencia.com/articulos/comment-on-hern-ndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-a/
DOI,10.3390/foods15101806,CANONICAL_FROM_SITEMAP,dry-cured-ham-comment,comment-on-hernndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-and-vascular,"Comment on Hernández-Lorca et al. Effects of Dry-Cured Ham Consumption on Cardiometabolic and Vascular Health in Adults: A Systematic Review and Meta-Analysis of Human Intervention Studies. Foods 2026, 15, 1198 | Miguel López Moreno",10.3390/foods15101806,,False,False,https://nutreconciencia.com/articulos/comment-on-hernndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-and-vascular/
DOI,10.3390/foods15101806,CANONICAL_FROM_SITEMAP,dry-cured-ham-comment,dry-cured-ham-comment,Comment on Hernández-Lorca et al. Effects of Dry-Cured Ham Consumption on Cardiometabolic and Vascular Health in Adults,10.3390/foods15101806,42196009,True,False,https://nutreconciencia.com/articulos/dry-cured-ham-comment/
DOI,10.3390/nu14204266,NO_SITEMAP_CANONICAL,,comment-on-montoro-garc-a-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blo,Redirigiendo…,10.3390/nu14204266,,False,True,https://nutreconciencia.com/articulos/comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure/
DOI,10.3390/nu14204266,NO_SITEMAP_CANONICAL,,comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure,"Comment on Montoro-García et al. Beneficial Impact of Pork Dry-Cured Ham Consumption on Blood Pressure and Cardiometabolic Markers in Individuals with Cardiovascular Risk. Nutrients 2022, 14, 298.",10.3390/nu14204266,36296950,False,False,https://nutreconciencia.com/articulos/comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure/
DOI,10.1002/jcsm.70036,NO_SITEMAP_CANONICAL,,comment-on-systematic-review-and-meta-analysis-of-protein-intake-to-support-muscle-mass-an,Redirigiendo…,10.1002/jcsm.70036,,False,True,https://nutreconciencia.com/articulos/comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function/
DOI,10.1002/jcsm.70036,NO_SITEMAP_CANONICAL,,comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function,"Comment on ""Systematic Review and Meta-Analysis of Protein Intake to Support Muscle Mass and Function in Healthy Adults"" by Nunes et al.",10.1002/jcsm.70036,40716105,False,False,https://nutreconciencia.com/articulos/comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function/
DOI,10.3389/fnut.2025.1622160,NO_SITEMAP_CANONICAL,,commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-m,Commentary: The energy model of insulin resistance: a unifying theory linking seed oils to metabolic disease and cancer.,10.3389/fnut.2025.1622160,40837433,False,False,https://nutreconciencia.com/articulos/commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-m/
DOI,10.3389/fnut.2025.1622160,NO_SITEMAP_CANONICAL,,commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d,Commentary: The energy model of insulin resistance: a unifying theory linking seed oils to metabolic disease and cancer | Miguel López Moreno,10.3389/fnut.2025.1622160,,False,False,https://nutreconciencia.com/articulos/commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d/
DOI,10.3390/nu17010095,CANONICAL_FROM_SITEMAP,creatine-narrative-review,creatine-narrative-review,"Creatine Supplementation Beyond Athletics: Benefits of Different Types of Creatine for Women, Vegans, and Clinical Populations",10.3390/nu17010095,39796530,True,False,https://nutreconciencia.com/articulos/creatine-narrative-review/
DOI,10.3390/nu17010095,CANONICAL_FROM_SITEMAP,creatine-narrative-review,creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-wome,"Creatine Supplementation Beyond Athletics: Benefits of Different Types of Creatine for Women, Vegans, and Clinical Populations—A Narrative Review",10.3390/nu17010095,39796530,False,False,https://nutreconciencia.com/articulos/creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-wome/
DOI,10.3390/nu17010095,CANONICAL_FROM_SITEMAP,creatine-narrative-review,creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-women-vegans-a,"Creatine Supplementation Beyond Athletics: Benefits of Different Types of Creatine for Women, Vegans, and Clinical Populations—A Narrative Review | Miguel López Moreno",10.3390/nu17010095,,False,False,https://nutreconciencia.com/articulos/creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-women-vegans-a/
DOI,10.3389/fnut.2025.1608814,CANONICAL_FROM_SITEMAP,soy-isoflavones-public-health,debunking-the-myth-are-soy-isoflavones-truly-a-public-health-concern,Debunking the myth: are soy isoflavones truly a public health concern?,10.3389/fnut.2025.1608814,40735241,False,False,https://nutreconciencia.com/articulos/debunking-the-myth-are-soy-isoflavones-truly-a-public-health-concern/
DOI,10.3389/fnut.2025.1608814,CANONICAL_FROM_SITEMAP,soy-isoflavones-public-health,soy-isoflavones-public-health,Debunking the myth: are soy isoflavones truly a public health concern?,10.3389/fnut.2025.1608814,40735241,True,False,https://nutreconciencia.com/articulos/soy-isoflavones-public-health/
DOI,10.3390/app16157696,NO_SITEMAP_CANONICAL,,determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediter,Determinants of Adherence and Their Relationship with Clinical Response to a Vegan Mediterranean Diet in Women with Fibromyalgia: A Secondary Analysis of the FIBROVEG Randomized Trial,10.3390/app16157696,,False,False,https://nutreconciencia.com/articulos/determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediter/
DOI,10.3390/app16157696,NO_SITEMAP_CANONICAL,,determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die,Determinants of Adherence and Their Relationship with Clinical Response to a Vegan Mediterranean Diet in Women with Fibromyalgia: A Secondary Analysis of the FIBROVEG Randomized Trial | Miguel López Moreno,10.3390/app16157696,,False,False,https://nutreconciencia.com/articulos/determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die/
DOI,10.1002/mnfr.70096,CANONICAL_FROM_SITEMAP,iron-absorption,dietary-adaptation-of-non-heme-iron-absorption-in-vegans-a-controlled-trial,Dietary Adaptation of Non-Heme Iron Absorption in Vegans: A Controlled Trial.,10.1002/mnfr.70096,40320969,False,False,https://nutreconciencia.com/articulos/dietary-adaptation-of-non-heme-iron-absorption-in-vegans-a-controlled-trial/
DOI,10.1002/mnfr.70096,CANONICAL_FROM_SITEMAP,iron-absorption,dietary-adaptation-of-nonheme-iron-absorption-in-vegans-a-controlled-trial,Dietary Adaptation of Non‐Heme Iron Absorption in Vegans: A Controlled Trial | Miguel López Moreno,10.1002/mnfr.70096,40320969,False,False,https://nutreconciencia.com/articulos/dietary-adaptation-of-nonheme-iron-absorption-in-vegans-a-controlled-trial/
DOI,10.1002/mnfr.70096,CANONICAL_FROM_SITEMAP,iron-absorption,iron-absorption,Dietary Adaptation of Non-Heme Iron Absorption in Vegans: A Controlled Trial,10.1002/mnfr.70096,40320969,True,False,https://nutreconciencia.com/articulos/iron-absorption/
DOI,10.1093/nutrit/nuag135,NO_SITEMAP_CANONICAL,,dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-child,Redirigiendo…,10.1093/nutrit/nuag135,,False,True,https://nutreconciencia.com/articulos/dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ/
DOI,10.1093/nutrit/nuag135,NO_SITEMAP_CANONICAL,,dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ,Dietary interventions for metabolic dysfunctionassociated steatotic liver disease in children: Network meta-analysis of randomized clinical trials,10.1093/nutrit/nuag135,,False,False,https://nutreconciencia.com/articulos/dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ/
DOI,10.1139/apnm-2025-0358,NO_SITEMAP_CANONICAL,,discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all,Redirigiendo…,10.1139/apnm-2025-0358,,False,True,https://nutreconciencia.com/articulos/discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car/
DOI,10.1139/apnm-2025-0358,NO_SITEMAP_CANONICAL,,discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car,"Discussion of “Animal and plant protein usual intakes are not adversely associated with all-cause, cardiovascular disease-, or cancer-related mortality risk: an NHANES III analysis”",10.1139/apnm-2025-0358,41405021,False,False,https://nutreconciencia.com/articulos/discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car/
DOI,10.1007/s13668-025-00647-y,NO_SITEMAP_CANONICAL,,do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whol,Redirigiendo…,10.1007/s13668-025-00647-y,,False,True,https://nutreconciencia.com/articulos/do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba/
DOI,10.1007/s13668-025-00647-y,NO_SITEMAP_CANONICAL,,do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba,Do the Health Benefits of the Mediterranean Diet Increase with a Higher Proportion of Whole Plant-Based Foods?,10.1007/s13668-025-00647-y,40138066,False,False,https://nutreconciencia.com/articulos/do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba/
DOI,10.3390/nu15214685,NO_SITEMAP_CANONICAL,,effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometab,Redirigiendo…,10.3390/nu15214685,,False,True,https://nutreconciencia.com/articulos/effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi/
DOI,10.3390/nu15214685,NO_SITEMAP_CANONICAL,,effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi,Effect of Nutrition Education on Health Science University Students to Improve Cardiometabolic Profile and Inflammatory Status,10.3390/nu15214685,37960339,False,False,https://nutreconciencia.com/articulos/effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi/
DOI,10.1016/j.clnu.2025.09.001,CANONICAL_FROM_SITEMAP,red-meat-cardiovascular,effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-baye,Redirigiendo…,10.1016/j.clnu.2025.09.001,,False,True,https://nutreconciencia.com/articulos/effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-bayesian-netwo/
DOI,10.1016/j.clnu.2025.09.001,CANONICAL_FROM_SITEMAP,red-meat-cardiovascular,effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-bayesian-netwo,Effect of red meat consumption on cardiovascular risk factors: A systematic review and Bayesian network meta-analysis of randomized controlled trials.,10.1016/j.clnu.2025.09.001,40997609,False,False,https://nutreconciencia.com/articulos/effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-bayesian-netwo/
DOI,10.1016/j.clnu.2025.09.001,CANONICAL_FROM_SITEMAP,red-meat-cardiovascular,red-meat-cardiovascular,Effect of red meat consumption on cardiovascular risk factors: A systematic review and Bayesian network meta-analysis of randomized controlled trials,10.1016/j.clnu.2025.09.001,40997609,True,False,https://nutreconciencia.com/articulos/red-meat-cardiovascular/
DOI,10.1371/journal.pone.0341215,NO_SITEMAP_CANONICAL,,effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomar,Redirigiendo…,10.1371/journal.pone.0341215,,False,True,https://nutreconciencia.com/articulos/effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab/
DOI,10.1371/journal.pone.0341215,NO_SITEMAP_CANONICAL,,effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab,"Effectiveness of immersive virtual reality and exercise on clinical, clinimetric and biomarker variables in rotator cuff-related shoulder pain patients: A study protocol for a multicentre randomized clinical trial (IVR- RCRSP-Rehab)",10.1371/journal.pone.0341215,41592018,False,False,https://nutreconciencia.com/articulos/effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab/
DOI,10.1093/nutrit/nuae188,CANONICAL_FROM_SITEMAP,migraine-dietary-interventions,effects-of-dietary-interventions-in-patients-with-migraine-a-systematic-review,Effects of Dietary Interventions in Patients With Migraine: A Systematic Review.,10.1093/nutrit/nuae188,39749874,False,False,https://nutreconciencia.com/articulos/effects-of-dietary-interventions-in-patients-with-migraine-a-systematic-review/
DOI,10.1093/nutrit/nuae188,CANONICAL_FROM_SITEMAP,migraine-dietary-interventions,migraine-dietary-interventions,Effects of Dietary Interventions in Patients With Migraine: A Systematic Review,10.1093/nutrit/nuae188,39749874,True,False,https://nutreconciencia.com/articulos/migraine-dietary-interventions/
DOI,10.1007/s00394-026-03939-3,CANONICAL_FROM_SITEMAP,omniveg-environmental,environmental-and-economic-impact-of-a-vegan-versus-traditional-mediterranean-diet-omniveg,Environmental and economic impact of a vegan versus traditional mediterranean diet: OMNIVEG study,10.1007/s00394-026-03939-3,41843153,False,False,https://nutreconciencia.com/articulos/environmental-and-economic-impact-of-a-vegan-versus-traditional-mediterranean-diet-omniveg/
DOI,10.1007/s00394-026-03939-3,CANONICAL_FROM_SITEMAP,omniveg-environmental,environmental-and-economic-impact-of-a-vegan-versus-traditional-mediterranean-diet-omniveg-study,Environmental and economic impact of a vegan versus traditional mediterranean diet: OMNIVEG study | Miguel López Moreno,10.1007/s00394-026-03939-3,,False,False,https://nutreconciencia.com/articulos/environmental-and-economic-impact-of-a-vegan-versus-traditional-mediterranean-diet-omniveg-study/
DOI,10.1007/s00394-026-03939-3,CANONICAL_FROM_SITEMAP,omniveg-environmental,omniveg-environmental,Environmental and economic impact of a vegan versus traditional Mediterranean diet: OMNIVEG study,10.1007/s00394-026-03939-3,41843153,True,False,https://nutreconciencia.com/articulos/omniveg-environmental/
DOI,10.1016/j.cdnut.2025.106498,NO_SITEMAP_CANONICAL,,examining-the-impact-of-isocaloric-substitution-of-animal-protein-with-plant-protein-all-c,"Examining the Impact of Isocaloric Substitution of Animal Protein With Plant Protein All-Cause, Cardiovascular, and Cancer Mortality: A Systematic Review and Meta-Analysis",10.1016/j.cdnut.2025.106498,,False,False,https://nutreconciencia.com/articulos/examining-the-impact-of-isocaloric-substitution-of-animal-protein-with-plant-protein-all-c/
DOI,10.1016/j.cdnut.2025.106498,NO_SITEMAP_CANONICAL,,examining-the-impact-of-isocaloric-substitution-of-animal-protein-with-plant-protein-all-cause-cardi,"Examining the Impact of Isocaloric Substitution of Animal Protein With Plant Protein All-Cause, Cardiovascular, and Cancer Mortality: A Systematic Review and Meta-Analysis | Miguel López Moreno",10.1016/j.cdnut.2025.106498,,False,False,https://nutreconciencia.com/articulos/examining-the-impact-of-isocaloric-substitution-of-animal-protein-with-plant-protein-all-cause-cardi/
DOI,10.1038/s41598-025-85307-5,NO_SITEMAP_CANONICAL,,feasibility-and-potential-effect-of-a-pilot-blended-digital-behavior-change-intervention-p,Feasibility and potential effect of a pilot blended digital behavior change intervention promoting sustainable diets over a year.,10.1038/s41598-025-85307-5,39814876,False,False,https://nutreconciencia.com/articulos/feasibility-and-potential-effect-of-a-pilot-blended-digital-behavior-change-intervention-p/
DOI,10.1038/s41598-025-85307-5,NO_SITEMAP_CANONICAL,,feasibility-and-potential-effect-of-a-pilot-blended-digital-behavior-change-intervention-promoting-s,Feasibility and potential effect of a pilot blended digital behavior change intervention promoting sustainable diets over a year | Miguel López Moreno,10.1038/s41598-025-85307-5,,False,False,https://nutreconciencia.com/articulos/feasibility-and-potential-effect-of-a-pilot-blended-digital-behavior-change-intervention-promoting-s/
DOI,10.31219/osf.io/d9pm3,NO_SITEMAP_CANONICAL,,feasibility-of-a-blended-digital-behavior-change-intervention-promoting-sustainable-diets-,Feasibility of a blended digital behavior change intervention promoting sustainable diets over a year: a series of pilot N-of-1 trials,10.31219/osf.io/d9pm3,,False,False,https://nutreconciencia.com/articulos/feasibility-of-a-blended-digital-behavior-change-intervention-promoting-sustainable-diets-/
DOI,10.31219/osf.io/d9pm3,NO_SITEMAP_CANONICAL,,feasibility-of-a-blended-digital-behavior-change-intervention-promoting-sustainable-diets-over-a-yea,Feasibility of a blended digital behavior change intervention promoting sustainable diets over a year: a series of pilot N-of-1 trials | Miguel López Moreno,10.31219/osf.io/d9pm3,,False,False,https://nutreconciencia.com/articulos/feasibility-of-a-blended-digital-behavior-change-intervention-promoting-sustainable-diets-over-a-yea/
DOI,10.1016/j.nut.2026.113303,CANONICAL_FROM_SITEMAP,fibroveg,fibroveg,Vegan versus traditional Mediterranean diet effects on cardiometabolic outcomes in women with fibromyalgia: FIBROVEG study,10.1016/j.nut.2026.113303,42320093,True,False,https://nutreconciencia.com/articulos/fibroveg/
DOI,10.1016/j.nut.2026.113303,CANONICAL_FROM_SITEMAP,fibroveg,vegan-versus-traditional-mediterranean-diet-effects-on-cardiometabolic-outcomes-in-women-w,Vegan versus traditional Mediterranean diet effects on cardiometabolic outcomes in women with fibromyalgia:FIBROVEG study.,10.1016/j.nut.2026.113303,42320093,False,False,https://nutreconciencia.com/articulos/vegan-versus-traditional-mediterranean-diet-effects-on-cardiometabolic-outcomes-in-women-w/
DOI,10.1016/j.nut.2026.113303,CANONICAL_FROM_SITEMAP,fibroveg,vegan-versus-traditional-mediterranean-diet-effects-on-cardiometabolic-outcomes-in-women-with-fibrom,Vegan versus traditional Mediterranean diet effects on cardiometabolic outcomes in women with fibromyalgia:FIBROVEG study | Miguel López Moreno,10.1016/j.nut.2026.113303,42320093,False,False,https://nutreconciencia.com/articulos/vegan-versus-traditional-mediterranean-diet-effects-on-cardiometabolic-outcomes-in-women-with-fibrom/
DOI,10.1016/j.lana.2026.101532,CANONICAL_FROM_SITEMAP,food-environment-policies,food-environment-policies,Food-environment policies for child nutrition in Ecuador and Latin America: beyond front-of-package labels and advertising restrictions,10.1016/j.lana.2026.101532,42375986,True,False,https://nutreconciencia.com/articulos/food-environment-policies/
DOI,10.1016/j.lana.2026.101532,CANONICAL_FROM_SITEMAP,food-environment-policies,food-environment-policies-for-child-nutrition-in-ecuador-and-latin-america-beyond-front-of,Redirigiendo…,10.1016/j.lana.2026.101532,,False,True,https://nutreconciencia.com/articulos/food-environment-policies-for-child-nutrition-in-ecuador-and-latin-america-beyond-front-of-package-l/
DOI,10.1016/j.lana.2026.101532,CANONICAL_FROM_SITEMAP,food-environment-policies,food-environment-policies-for-child-nutrition-in-ecuador-and-latin-america-beyond-front-of-package-l,Food-environment policies for child nutrition in Ecuador and Latin America: beyond front-of-package labels and advertising restrictions,10.1016/j.lana.2026.101532,42375986,False,False,https://nutreconciencia.com/articulos/food-environment-policies-for-child-nutrition-in-ecuador-and-latin-america-beyond-front-of-package-l/
DOI,10.3389/fnut.2025.1527685,CANONICAL_FROM_SITEMAP,food-insecurity-adolescents,food-insecurity-adolescents,Proportion of food insecurity and its sociodemographic correlates among Spanish adolescents: the EHDLA study,10.3389/fnut.2025.1527685,40230716,True,False,https://nutreconciencia.com/articulos/food-insecurity-adolescents/
