group,identity,canonical_slug,canonical_url,decision,slug,title,doi,pmid,sitemap,noindex,current_canonical,is_canonical,redirect_required
5,10.1123/ijsnem.2024-0113,beetroot-juice-handball,https://nutreconciencia.com/articulos/beetroot-juice-handball/,SITEMAP_CANONICAL,multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-se,"Multiday Beetroot Juice Ingestion Improves Some Aspects of Neuromuscular Performance in Semi-Professional, Male Handball Players: A Randomized, Double-Blind, Placebo-Controlled, Crossover Study.",10.1123/ijsnem.2024-0113,39579758,False,False,https://nutreconciencia.com/articulos/multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-se/,False,True
5,10.1123/ijsnem.2024-0113,beetroot-juice-handball,https://nutreconciencia.com/articulos/beetroot-juice-handball/,SITEMAP_CANONICAL,multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-semi-profess,"Multiday Beetroot Juice Ingestion Improves Some Aspects of Neuromuscular Performance in Semi-Professional, Male Handball Players: A Randomized, Double-Blind, Placebo-Controlled, Crossover Study | Miguel López Moreno",10.1123/ijsnem.2024-0113,39579758,False,False,https://nutreconciencia.com/articulos/multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-semi-profess/,False,True
6,10.1093/nutrit/nuaf315,breast-cancer-plant-based-diets,https://nutreconciencia.com/articulos/breast-cancer-plant-based-diets/,SITEMAP_CANONICAL,breast-cancer-plant-based-diets,Breast Cancer Risk and Mortality and Adherence to Plant-Based Diets: A Systematic Review and Meta-Analysis,10.1093/nutrit/nuaf315,41719178,True,False,https://nutreconciencia.com/articulos/breast-cancer-plant-based-diets/,True,False
6,10.1093/nutrit/nuaf315,breast-cancer-plant-based-diets,https://nutreconciencia.com/articulos/breast-cancer-plant-based-diets/,SITEMAP_CANONICAL,breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-an,Breast Cancer Risk and Mortality and Adherence to Plant-Based Diets: A Systematic Review and Meta-Analysis.,10.1093/nutrit/nuaf315,41719178,False,False,https://nutreconciencia.com/articulos/breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-an/,False,True
6,10.1093/nutrit/nuaf315,breast-cancer-plant-based-diets,https://nutreconciencia.com/articulos/breast-cancer-plant-based-diets/,SITEMAP_CANONICAL,breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-and-meta-ana,Breast Cancer Risk and Mortality and Adherence to Plant-Based Diets: A Systematic Review and Meta-Analysis | Miguel López Moreno,10.1093/nutrit/nuaf315,41719178,False,False,https://nutreconciencia.com/articulos/breast-cancer-risk-and-mortality-and-adherence-to-plant-based-diets-a-systematic-review-and-meta-ana/,False,True
7,10.3390/jcm14072160,cluster-headache-migraine,https://nutreconciencia.com/articulos/cluster-headache-migraine/,SITEMAP_CANONICAL,cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-n,"Cluster Headache and Migraine Shared and Unique Insights: Neurophysiological Implications, Neuroimaging, and Biomarkers: A Comprehensive Review",10.3390/jcm14072160,40217611,False,False,https://nutreconciencia.com/articulos/cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-n/,False,True
7,10.3390/jcm14072160,cluster-headache-migraine,https://nutreconciencia.com/articulos/cluster-headache-migraine/,SITEMAP_CANONICAL,cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-neuroimagin,"Cluster Headache and Migraine Shared and Unique Insights: Neurophysiological Implications, Neuroimaging, and Biomarkers: A Comprehensive Review | Miguel López Moreno",10.3390/jcm14072160,,False,False,https://nutreconciencia.com/articulos/cluster-headache-and-migraine-shared-and-unique-insights-neurophysiological-implications-neuroimagin/,False,True
7,10.3390/jcm14072160,cluster-headache-migraine,https://nutreconciencia.com/articulos/cluster-headache-migraine/,SITEMAP_CANONICAL,cluster-headache-migraine,"Cluster Headache and Migraine Shared and Unique Insights: Neurophysiological Implications, Neuroimaging, and Biomarkers",10.3390/jcm14072160,40217611,True,False,https://nutreconciencia.com/articulos/cluster-headache-migraine/,True,False
8,10.3390/foods15101806,dry-cured-ham-comment,https://nutreconciencia.com/articulos/dry-cured-ham-comment/,SITEMAP_CANONICAL,comment-on-hern-ndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-a,"Comment on Hernández-Lorca et al. Effects of Dry-Cured Ham Consumption on Cardiometabolic and Vascular Health in Adults: A Systematic Review and Meta-Analysis of Human Intervention Studies. Foods 2026, 15, 1198.",10.3390/foods15101806,42196009,False,False,https://nutreconciencia.com/articulos/comment-on-hern-ndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-a/,False,True
8,10.3390/foods15101806,dry-cured-ham-comment,https://nutreconciencia.com/articulos/dry-cured-ham-comment/,SITEMAP_CANONICAL,comment-on-hernndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-and-vascular,"Comment on Hernández-Lorca et al. Effects of Dry-Cured Ham Consumption on Cardiometabolic and Vascular Health in Adults: A Systematic Review and Meta-Analysis of Human Intervention Studies. Foods 2026, 15, 1198 | Miguel López Moreno",10.3390/foods15101806,,False,False,https://nutreconciencia.com/articulos/comment-on-hernndez-lorca-et-al-effects-of-dry-cured-ham-consumption-on-cardiometabolic-and-vascular/,False,True
8,10.3390/foods15101806,dry-cured-ham-comment,https://nutreconciencia.com/articulos/dry-cured-ham-comment/,SITEMAP_CANONICAL,dry-cured-ham-comment,Comment on Hernández-Lorca et al. Effects of Dry-Cured Ham Consumption on Cardiometabolic and Vascular Health in Adults,10.3390/foods15101806,42196009,True,False,https://nutreconciencia.com/articulos/dry-cured-ham-comment/,True,False
9,10.3390/nu14204266,comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure,https://nutreconciencia.com/articulos/comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure/,NON_NOINDEX_CANONICAL,comment-on-montoro-garc-a-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blo,Redirigiendo…,10.3390/nu14204266,,False,True,https://nutreconciencia.com/articulos/comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure/,False,True
9,10.3390/nu14204266,comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure,https://nutreconciencia.com/articulos/comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure/,NON_NOINDEX_CANONICAL,comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure,"Comment on Montoro-García et al. Beneficial Impact of Pork Dry-Cured Ham Consumption on Blood Pressure and Cardiometabolic Markers in Individuals with Cardiovascular Risk. Nutrients 2022, 14, 298.",10.3390/nu14204266,36296950,False,False,https://nutreconciencia.com/articulos/comment-on-montoro-garca-et-al-beneficial-impact-of-pork-dry-cured-ham-consumption-on-blood-pressure/,True,False
10,10.1002/jcsm.70036,comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function,https://nutreconciencia.com/articulos/comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function/,NON_NOINDEX_CANONICAL,comment-on-systematic-review-and-meta-analysis-of-protein-intake-to-support-muscle-mass-an,Redirigiendo…,10.1002/jcsm.70036,,False,True,https://nutreconciencia.com/articulos/comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function/,False,True
10,10.1002/jcsm.70036,comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function,https://nutreconciencia.com/articulos/comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function/,NON_NOINDEX_CANONICAL,comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function,"Comment on ""Systematic Review and Meta-Analysis of Protein Intake to Support Muscle Mass and Function in Healthy Adults"" by Nunes et al.",10.1002/jcsm.70036,40716105,False,False,https://nutreconciencia.com/articulos/comment-on-systematic-review-and-metaanalysis-of-protein-intake-to-support-muscle-mass-and-function/,True,False
11,10.3389/fnut.2025.1622160,commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d,https://nutreconciencia.com/articulos/commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d/,MANUAL_DECISION,commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-m,Commentary: The energy model of insulin resistance: a unifying theory linking seed oils to metabolic disease and cancer.,10.3389/fnut.2025.1622160,40837433,False,False,https://nutreconciencia.com/articulos/commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-m/,False,True
11,10.3389/fnut.2025.1622160,commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d,https://nutreconciencia.com/articulos/commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d/,MANUAL_DECISION,commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d,Commentary: The energy model of insulin resistance: a unifying theory linking seed oils to metabolic disease and cancer | Miguel López Moreno,10.3389/fnut.2025.1622160,,False,False,https://nutreconciencia.com/articulos/commentary-the-energy-model-of-insulin-resistance-a-unifying-theory-linking-seed-oils-to-metabolic-d/,True,False
12,10.3390/nu17010095,creatine-narrative-review,https://nutreconciencia.com/articulos/creatine-narrative-review/,SITEMAP_CANONICAL,creatine-narrative-review,"Creatine Supplementation Beyond Athletics: Benefits of Different Types of Creatine for Women, Vegans, and Clinical Populations",10.3390/nu17010095,39796530,True,False,https://nutreconciencia.com/articulos/creatine-narrative-review/,True,False
12,10.3390/nu17010095,creatine-narrative-review,https://nutreconciencia.com/articulos/creatine-narrative-review/,SITEMAP_CANONICAL,creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-wome,"Creatine Supplementation Beyond Athletics: Benefits of Different Types of Creatine for Women, Vegans, and Clinical Populations—A Narrative Review",10.3390/nu17010095,39796530,False,False,https://nutreconciencia.com/articulos/creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-wome/,False,True
12,10.3390/nu17010095,creatine-narrative-review,https://nutreconciencia.com/articulos/creatine-narrative-review/,SITEMAP_CANONICAL,creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-women-vegans-a,"Creatine Supplementation Beyond Athletics: Benefits of Different Types of Creatine for Women, Vegans, and Clinical Populations—A Narrative Review | Miguel López Moreno",10.3390/nu17010095,,False,False,https://nutreconciencia.com/articulos/creatine-supplementation-beyond-athletics-benefits-of-different-types-of-creatine-for-women-vegans-a/,False,True
13,10.3389/fnut.2025.1608814,soy-isoflavones-public-health,https://nutreconciencia.com/articulos/soy-isoflavones-public-health/,SITEMAP_CANONICAL,debunking-the-myth-are-soy-isoflavones-truly-a-public-health-concern,Debunking the myth: are soy isoflavones truly a public health concern?,10.3389/fnut.2025.1608814,40735241,False,False,https://nutreconciencia.com/articulos/debunking-the-myth-are-soy-isoflavones-truly-a-public-health-concern/,False,True
13,10.3389/fnut.2025.1608814,soy-isoflavones-public-health,https://nutreconciencia.com/articulos/soy-isoflavones-public-health/,SITEMAP_CANONICAL,soy-isoflavones-public-health,Debunking the myth: are soy isoflavones truly a public health concern?,10.3389/fnut.2025.1608814,40735241,True,False,https://nutreconciencia.com/articulos/soy-isoflavones-public-health/,True,False
14,10.3390/app16157696,determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die,https://nutreconciencia.com/articulos/determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die/,MANUAL_DECISION,determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediter,Determinants of Adherence and Their Relationship with Clinical Response to a Vegan Mediterranean Diet in Women with Fibromyalgia: A Secondary Analysis of the FIBROVEG Randomized Trial,10.3390/app16157696,,False,False,https://nutreconciencia.com/articulos/determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediter/,False,True
14,10.3390/app16157696,determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die,https://nutreconciencia.com/articulos/determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die/,MANUAL_DECISION,determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die,Determinants of Adherence and Their Relationship with Clinical Response to a Vegan Mediterranean Diet in Women with Fibromyalgia: A Secondary Analysis of the FIBROVEG Randomized Trial | Miguel López Moreno,10.3390/app16157696,,False,False,https://nutreconciencia.com/articulos/determinants-of-adherence-and-their-relationship-with-clinical-response-to-a-vegan-mediterranean-die/,True,False
15,10.1002/mnfr.70096,iron-absorption,https://nutreconciencia.com/articulos/iron-absorption/,SITEMAP_CANONICAL,dietary-adaptation-of-non-heme-iron-absorption-in-vegans-a-controlled-trial,Dietary Adaptation of Non-Heme Iron Absorption in Vegans: A Controlled Trial.,10.1002/mnfr.70096,40320969,False,False,https://nutreconciencia.com/articulos/dietary-adaptation-of-non-heme-iron-absorption-in-vegans-a-controlled-trial/,False,True
15,10.1002/mnfr.70096,iron-absorption,https://nutreconciencia.com/articulos/iron-absorption/,SITEMAP_CANONICAL,dietary-adaptation-of-nonheme-iron-absorption-in-vegans-a-controlled-trial,Dietary Adaptation of Non‐Heme Iron Absorption in Vegans: A Controlled Trial | Miguel López Moreno,10.1002/mnfr.70096,40320969,False,False,https://nutreconciencia.com/articulos/dietary-adaptation-of-nonheme-iron-absorption-in-vegans-a-controlled-trial/,False,True
15,10.1002/mnfr.70096,iron-absorption,https://nutreconciencia.com/articulos/iron-absorption/,SITEMAP_CANONICAL,iron-absorption,Dietary Adaptation of Non-Heme Iron Absorption in Vegans: A Controlled Trial,10.1002/mnfr.70096,40320969,True,False,https://nutreconciencia.com/articulos/iron-absorption/,True,False
16,10.1093/nutrit/nuag135,dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ,https://nutreconciencia.com/articulos/dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ/,NON_NOINDEX_CANONICAL,dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-child,Redirigiendo…,10.1093/nutrit/nuag135,,False,True,https://nutreconciencia.com/articulos/dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ/,False,True
16,10.1093/nutrit/nuag135,dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ,https://nutreconciencia.com/articulos/dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ/,NON_NOINDEX_CANONICAL,dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ,Dietary interventions for metabolic dysfunctionassociated steatotic liver disease in children: Network meta-analysis of randomized clinical trials,10.1093/nutrit/nuag135,,False,False,https://nutreconciencia.com/articulos/dietary-interventions-for-metabolic-dysfunctionassociated-steatotic-liver-disease-in-children-networ/,True,False
17,10.1139/apnm-2025-0358,discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car,https://nutreconciencia.com/articulos/discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car/,NON_NOINDEX_CANONICAL,discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all,Redirigiendo…,10.1139/apnm-2025-0358,,False,True,https://nutreconciencia.com/articulos/discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car/,False,True
17,10.1139/apnm-2025-0358,discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car,https://nutreconciencia.com/articulos/discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car/,NON_NOINDEX_CANONICAL,discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car,"Discussion of “Animal and plant protein usual intakes are not adversely associated with all-cause, cardiovascular disease-, or cancer-related mortality risk: an NHANES III analysis”",10.1139/apnm-2025-0358,41405021,False,False,https://nutreconciencia.com/articulos/discussion-of-animal-and-plant-protein-usual-intakes-are-not-adversely-associated-with-all-cause-car/,True,False
18,10.1007/s13668-025-00647-y,do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba,https://nutreconciencia.com/articulos/do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba/,NON_NOINDEX_CANONICAL,do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whol,Redirigiendo…,10.1007/s13668-025-00647-y,,False,True,https://nutreconciencia.com/articulos/do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba/,False,True
18,10.1007/s13668-025-00647-y,do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba,https://nutreconciencia.com/articulos/do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba/,NON_NOINDEX_CANONICAL,do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba,Do the Health Benefits of the Mediterranean Diet Increase with a Higher Proportion of Whole Plant-Based Foods?,10.1007/s13668-025-00647-y,40138066,False,False,https://nutreconciencia.com/articulos/do-the-health-benefits-of-the-mediterranean-diet-increase-with-a-higher-proportion-of-whole-plant-ba/,True,False
19,10.3390/nu15214685,effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi,https://nutreconciencia.com/articulos/effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi/,NON_NOINDEX_CANONICAL,effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometab,Redirigiendo…,10.3390/nu15214685,,False,True,https://nutreconciencia.com/articulos/effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi/,False,True
19,10.3390/nu15214685,effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi,https://nutreconciencia.com/articulos/effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi/,NON_NOINDEX_CANONICAL,effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi,Effect of Nutrition Education on Health Science University Students to Improve Cardiometabolic Profile and Inflammatory Status,10.3390/nu15214685,37960339,False,False,https://nutreconciencia.com/articulos/effect-of-nutrition-education-on-health-science-university-students-to-improve-cardiometabolic-profi/,True,False
20,10.1016/j.clnu.2025.09.001,red-meat-cardiovascular,https://nutreconciencia.com/articulos/red-meat-cardiovascular/,SITEMAP_CANONICAL,effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-baye,Redirigiendo…,10.1016/j.clnu.2025.09.001,,False,True,https://nutreconciencia.com/articulos/effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-bayesian-netwo/,False,True
20,10.1016/j.clnu.2025.09.001,red-meat-cardiovascular,https://nutreconciencia.com/articulos/red-meat-cardiovascular/,SITEMAP_CANONICAL,effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-bayesian-netwo,Effect of red meat consumption on cardiovascular risk factors: A systematic review and Bayesian network meta-analysis of randomized controlled trials.,10.1016/j.clnu.2025.09.001,40997609,False,False,https://nutreconciencia.com/articulos/effect-of-red-meat-consumption-on-cardiovascular-risk-factors-a-systematic-review-and-bayesian-netwo/,False,True
20,10.1016/j.clnu.2025.09.001,red-meat-cardiovascular,https://nutreconciencia.com/articulos/red-meat-cardiovascular/,SITEMAP_CANONICAL,red-meat-cardiovascular,Effect of red meat consumption on cardiovascular risk factors: A systematic review and Bayesian network meta-analysis of randomized controlled trials,10.1016/j.clnu.2025.09.001,40997609,True,False,https://nutreconciencia.com/articulos/red-meat-cardiovascular/,True,False
21,10.1371/journal.pone.0341215,effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab,https://nutreconciencia.com/articulos/effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab/,NON_NOINDEX_CANONICAL,effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomar,Redirigiendo…,10.1371/journal.pone.0341215,,False,True,https://nutreconciencia.com/articulos/effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab/,False,True
21,10.1371/journal.pone.0341215,effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab,https://nutreconciencia.com/articulos/effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab/,NON_NOINDEX_CANONICAL,effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab,"Effectiveness of immersive virtual reality and exercise on clinical, clinimetric and biomarker variables in rotator cuff-related shoulder pain patients: A study protocol for a multicentre randomized clinical trial (IVR- RCRSP-Rehab)",10.1371/journal.pone.0341215,41592018,False,False,https://nutreconciencia.com/articulos/effectiveness-of-immersive-virtual-reality-and-exercise-on-clinical-clinimetric-and-biomarker-variab/,True,False
22,10.1093/nutrit/nuae188,migraine-dietary-interventions,https://nutreconciencia.com/articulos/migraine-dietary-interventions/,SITEMAP_CANONICAL,effects-of-dietary-interventions-in-patients-with-migraine-a-systematic-review,Effects of Dietary Interventions in Patients With Migraine: A Systematic Review.,10.1093/nutrit/nuae188,39749874,False,False,https://nutreconciencia.com/articulos/effects-of-dietary-interventions-in-patients-with-migraine-a-systematic-review/,False,True
22,10.1093/nutrit/nuae188,migraine-dietary-interventions,https://nutreconciencia.com/articulos/migraine-dietary-interventions/,SITEMAP_CANONICAL,migraine-dietary-interventions,Effects of Dietary Interventions in Patients With Migraine: A Systematic Review,10.1093/nutrit/nuae188,39749874,True,False,https://nutreconciencia.com/articulos/migraine-dietary-interventions/,True,False
